[2026-04-28T14:33:54.824Z] [INFO] ✅ Database connected successfully 
[2026-05-10T15:49:53.319Z] [INFO] ✅ Database connected successfully 
[2026-05-10T15:51:16.866Z] [INFO] GET /api/v1/customers?page=1 200 - 304ms 
[2026-05-10T16:24:22.380Z] [INFO] GET /api/v1/customers?page=1 200 - 194ms 
[2026-05-10T16:27:30.970Z] [INFO] ✅ Database connected successfully 
[2026-05-10T16:27:58.737Z] [INFO] ✅ Database connected successfully 
[2026-05-10T16:28:00.673Z] [INFO] ✅ Database connected successfully 
[2026-05-10T16:28:20.197Z] [INFO] ✅ Database connected successfully 
[2026-05-10T16:28:28.305Z] [INFO] ✅ Database connected successfully 
[2026-05-10T16:29:00.586Z] [INFO] ✅ Database connected successfully 
[2026-05-10T16:29:03.847Z] [INFO] ✅ Database connected successfully 
[2026-05-10T16:29:07.501Z] [INFO] ✅ Database connected successfully 
[2026-05-10T16:30:41.598Z] [INFO] GET /api/v1/customers?page=1 200 - 53ms 
[2026-05-10T16:32:31.350Z] [INFO] GET /api/v1/customers?page=1 200 - 8ms 
[2026-05-10T16:32:38.163Z] [INFO] GET /api/v1/products?page=1 200 - 203ms 
[2026-05-10T16:32:41.521Z] [INFO] GET /api/v1/customers?page=1 200 - 3ms 
[2026-05-10T16:32:43.206Z] [INFO] GET /api/v1/customer-types 404 - 2ms 
[2026-05-10T16:32:44.242Z] [INFO] GET /api/v1/customer-types 404 - 0ms 
[2026-05-10T16:33:17.344Z] [INFO] ✅ Database connected successfully 
[2026-05-10T16:34:25.077Z] [INFO] GET /api/v1/customer-types 404 - 3ms 
[2026-05-10T16:34:40.738Z] [INFO] ✅ Database connected successfully 
[2026-05-10T16:34:43.807Z] [INFO] GET /api/v1/customer-types 404 - 3ms 
[2026-05-10T16:34:49.465Z] [INFO] GET /api/v1/customer-types 404 - 1ms 
[2026-05-10T16:34:50.486Z] [INFO] GET /api/v1/customer-types 404 - 1ms 
[2026-05-10T16:35:14.414Z] [INFO] GET /api/v1/customer-types 404 - 1ms 
[2026-05-10T16:35:28.425Z] [INFO] GET /api/v1/customer/types 404 - 2ms 
[2026-05-10T16:35:30.015Z] [INFO] GET /api/v1/customers/types 200 - 571ms 
[2026-05-10T16:36:33.840Z] [INFO] GET /api/v1/customers?page=1 200 - 285ms 
[2026-05-10T16:38:05.255Z] [INFO] GET /api/v1/customers/types 200 - 6ms 
[2026-05-10T16:38:08.511Z] [INFO] GET /api/v1/customers?page=1 200 - 4ms 
[2026-05-10T16:38:09.765Z] [INFO] GET /api/v1/customers/types 200 - 4ms 
[2026-05-10T16:38:16.576Z] [INFO] GET /api/v1/customers?page=1 200 - 4ms 
[2026-05-10T16:38:18.064Z] [INFO] GET /api/v1/customers/types 200 - 4ms 
[2026-05-10T16:54:56.143Z] [INFO] GET /api/v1/customers/types 200 - 788ms 
[2026-05-10T16:54:56.155Z] [INFO] GET /api/v1/customers?page=1 200 - 796ms 
[2026-05-10T16:55:40.991Z] [INFO] Customer created {"customerId":"CUST-00002"}
[2026-05-10T16:55:40.992Z] [INFO] POST /api/v1/customers 201 - 387ms 
[2026-05-10T16:55:41.014Z] [INFO] GET /api/v1/customers?page=1 200 - 13ms 
[2026-05-10T16:59:22.310Z] [INFO] GET /api/v1/customers?page=1 200 - 14ms 
[2026-05-10T16:59:24.351Z] [INFO] GET /api/v1/customers/types 200 - 4ms 
[2026-05-10T16:59:27.657Z] [INFO] GET /api/v1/customers?page=1 200 - 68ms 
[2026-05-10T16:59:29.824Z] [INFO] GET /api/v1/customers/types 200 - 3ms 
[2026-05-10T17:00:13.079Z] [INFO] GET /api/v1/customers?page=1 200 - 111ms 
[2026-05-10T17:00:14.640Z] [INFO] GET /api/v1/customers/types 200 - 3ms 
[2026-05-10T17:02:05.200Z] [INFO] GET /api/v1/customers?page=1 200 - 4ms 
[2026-05-10T17:02:06.913Z] [INFO] GET /api/v1/customers/types 200 - 3ms 
